[2026-07-13T01:38:54.668Z] GET http://localhost:5173/ → 200 (7ms, 579B)
[2026-07-13T01:38:54.684Z] GET http://localhost:5173/@vite/client → 200 (6ms, 137703B)
[2026-07-13T01:38:54.684Z] GET http://localhost:5173/src/main.tsx → 200 (3ms, 3997B)
[2026-07-13T01:38:54.688Z] GET http://localhost:5173/@react-refresh → 200 (4ms, 117548B)
[2026-07-13T01:38:54.688Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=f291f925 → 200 (6ms, 37035B)
[2026-07-13T01:38:54.688Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=f291f925 → 200 (7ms, 219B)
[2026-07-13T01:38:54.688Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=db740795 → 200 (9ms, 1118B)
[2026-07-13T01:38:54.688Z] GET http://localhost:5173/src/App.tsx → 200 (18ms, 14517B)
[2026-07-13T01:38:54.688Z] GET http://localhost:5173/src/agent.ts → 200 (4ms, 2857B)
[2026-07-13T01:38:54.688Z] GET http://localhost:5173/src/styles.css → 200 (5ms, 12860B)
[2026-07-13T01:38:54.688Z] GET http://localhost:5173/src/store.ts → 200 (6ms, 26527B)
[2026-07-13T01:38:54.690Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 200 (7ms, 4021B)
[2026-07-13T01:38:54.692Z] GET http://localhost:5173/src/api.ts → 200 (3ms, 4274B)
[2026-07-13T01:38:54.694Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-CANBAPAS.js?v=32178fd0 → 200 (12ms, 77818B)
[2026-07-13T01:38:54.694Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-5WRI5ZAA.js?v=32178fd0 → 200 (12ms, 1400B)
[2026-07-13T01:38:54.695Z] GET http://localhost:5173/node_modules/.vite/deps/zustand.js?v=0212f47b → 200 (2ms, 11810B)
[2026-07-13T01:38:54.695Z] GET http://localhost:5173/node_modules/.vite/deps/@microsoft_fetch-event-source.js?v=6a261a9a → 200 (11ms, 6415B)
[2026-07-13T01:38:54.705Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-TYILIMWK.js?v=32178fd0 → 200 (11ms, 928095B)
